"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180801","0","290.19","290.19","292.981","987.72","99","-2.79","Rain","moderate rain","92","1.88","11.925"
"20180801","30000","289.98","289.98","292.076","987.7","99","-2.09","Rain","moderate rain","80","1.06","4.2825"
"20180801","60000","290.82","290.82","292.215","987.9","98","-1.4","Rain","moderate rain","76","1.41","4.89"
"20180801","90000","291.78","291.78","292.474","987.86","96","-0.7","Rain","light rain","44","1.86","0.024999999999999"
"20180801","120000","293.725","293.725","293.725","988.27","96","0","Rain","light rain","20","1.77","0.010000000000002"
"20180801","150000","297.067","297.067","297.067","988.21","92","0","Rain","light rain","64","1.51","0.004999999999999"
"20180801","180000","299.863","299.863","299.863","986.7","83","0","Clouds","scattered clouds","48","1.51","0"
"20180801","210000","293.392","293.392","293.392","985.39","100","0","Rain","moderate rain","92","2.67","11.515"
"20180802","0","292.79","292.79","292.79","987.09","97","0","Rain","heavy intensity rain","32","2.4","14.9"
"20180802","30000","292.362","292.362","292.362","988.25","99","0","Rain","light rain","100","1.85","1.14"
"20180802","60000","292.735","292.735","292.735","988.6","99","0","Rain","light rain","92","1.57","1.885"
"20180802","90000","292.659","292.659","292.659","988.6","99","0","Rain","light rain","100","1.18","2.72"
"20180802","120000","292.697","292.697","292.697","989.07","100","0","Rain","moderate rain","100","1.32","5.19"
"20180802","150000","294.105","294.105","294.105","989.88","99","0","Rain","light rain","88","1.51","0.38"
"20180802","180000","296.438","296.438","296.438","989.93","89","0","Rain","light rain","80","1.51","0.065000000000005"
"20180802","210000","296.963","296.963","296.963","989.98","87","0","Rain","light rain","0","1.52","0.039999999999999"
"20180803","0","295.829","295.829","295.829","990.55","91","0","Clouds","few clouds","24","1.02","0"
"20180803","30000","292.282","292.282","292.282","991.62","96","0","Clouds","few clouds","12","1.05","0"
"20180803","60000","290.561","290.561","290.561","991.5","93","0","Clouds","scattered clouds","36","1.01","0"
"20180803","90000","290.574","290.574","290.574","991.26","93","0","Clouds","overcast clouds","92","1.01","0"
"20180803","120000","293.696","293.696","293.696","991.74","94","0","Clouds","overcast clouds","88","1.36","0"
"20180803","150000","296.472","296.472","296.472","992.59","90","0","Rain","light rain","92","1.41","0.009999999999998"
"20180803","180000","298.047","298.047","298.047","992.06","86","0","Clouds","broken clouds","80","1.51","0"
"20180803","210000","298.032","298.032","298.032","991.67","82","0","Clouds","scattered clouds","36","1.46","0"
"20180804","0","296.428","296.428","296.428","991.78","88","0","Clear","clear sky","8","0.96","0"
"20180804","30000","292.196","292.196","292.196","992.84","95","0","Clouds","few clouds","12","0.86","0"
"20180804","60000","290.385","290.385","290.385","992.7","94","0","Clear","clear sky","0","0.96","0"
"20180804","90000","289.44","289.44","289.44","993.13","94","0","Clear","clear sky","8","0.95","0"
"20180804","120000","293.152","293.152","293.152","994.53","94","0","Clear","clear sky","0","1.41","0"
"20180804","150000","298.796","298.796","298.796","995.07","85","0","Clear","clear sky","8","1.62","0"
"20180804","180000","301.064","301.064","301.064","994.19","73","0","Clear","clear sky","0","1.5","0"
"20180804","210000","301.741","301.741","301.741","993.25","64","0","Clouds","scattered clouds","32","1.41","0"
"20180805","0","299.369","299.369","299.369","993.56","78","0","Clouds","scattered clouds","32","0.76","0"
"20180805","30000","294.883","294.883","294.883","994.46","86","0","Clear","clear sky","0","1.11","0"
"20180805","60000","294.063","294.063","294.063","994.62","87","0","Clouds","few clouds","24","1.56","0"
"20180805","90000","293.289","293.289","293.289","994.82","92","0","Clouds","few clouds","20","1.05","0"
"20180805","120000","295.718","295.718","295.718","996.02","90","0","Clouds","few clouds","12","1.47","0"
"20180805","150000","300.985","300.985","300.985","996.7","76","0","Clear","clear sky","8","1.51","0"
"20180805","180000","301.999","301.999","301.999","995.71","68","0","Clouds","few clouds","24","1.65","0"
"20180805","210000","302.771","302.771","302.771","994.47","64","0","Rain","light rain","92","1.81","0.585"
