"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180711","180000","297.69","295.963","297.69","1019.66","74","1.73","Rain","light rain","12","3.21","0.015"
"20180711","210000","298.23","296.936","298.23","1019.81","61","1.3","Clear","clear sky","0","2.97","0"
"20180712","0","295.83","294.964","295.83","1020.87","56","0.87","Rain","light rain","64","2.06","0.025"
"20180712","30000","293.05","292.621","293.05","1022.48","64","0.43","Clear","clear sky","0","1.56","0"
"20180712","60000","289.539","289.539","289.539","1023.12","82","0","Clear","clear sky","0","1.02","0"
"20180712","90000","288.396","288.396","288.396","1023.72","88","0","Clear","clear sky","0","1.42","0"
"20180712","120000","293.121","293.121","293.121","1025.43","63","0","Clear","clear sky","0","1.52","0"
"20180712","150000","298.259","298.259","298.259","1026.16","47","0","Clear","clear sky","0","1.51","0"
"20180712","180000","300.218","300.218","300.218","1025.62","41","0","Clear","clear sky","0","1.46","0"
"20180712","210000","300.13","300.13","300.13","1025.53","40","0","Clouds","scattered clouds","44","0.9","0"
"20180713","0","297.803","297.803","297.803","1026.36","46","0","Clouds","overcast clouds","100","1.12","0"
"20180713","30000","295.503","295.503","295.503","1027.83","52","0","Clouds","broken clouds","56","1.86","0"
"20180713","60000","292.088","292.088","292.088","1028.36","79","0","Clear","clear sky","8","1.21","0"
"20180713","90000","289.818","289.818","289.818","1028.61","89","0","Clouds","scattered clouds","32","1","0"
"20180713","120000","293.075","293.075","293.075","1029.42","84","0","Rain","light rain","32","1.51","0.0049999999999999"
"20180713","150000","299.146","299.146","299.146","1029.17","52","0","Clear","clear sky","8","1.61","0"
"20180713","180000","299.658","299.658","299.658","1028.47","44","0","Clouds","scattered clouds","36","2.36","0"
"20180713","210000","298.87","298.87","298.87","1027.7","40","0","Clear","clear sky","0","2.66","0"
"20180714","0","294.689","294.689","294.689","1027.87","46","0","Clear","clear sky","0","2.27","0"
"20180714","30000","290.483","290.483","290.483","1028.02","67","0","Clear","clear sky","0","1.62","0"
"20180714","60000","287.592","287.592","287.592","1027.21","92","0","Clear","clear sky","0","1.26","0"
"20180714","90000","287.271","287.271","287.271","1026.3","95","0","Clear","clear sky","0","2.06","0"
"20180714","120000","291.631","291.631","291.631","1025.95","73","0","Clouds","few clouds","12","1.87","0"
"20180714","150000","297.336","297.336","297.336","1024.83","54","0","Clear","clear sky","0","2.31","0"
"20180714","180000","299.744","299.744","299.744","1023.12","44","0","Clear","clear sky","8","2.76","0"
"20180714","210000","298.224","298.224","298.224","1022.13","43","0","Clouds","broken clouds","80","2.91","0"
"20180715","0","294.844","294.844","294.844","1022.24","48","0","Clouds","broken clouds","64","2.01","0"
"20180715","30000","291.81","291.81","291.81","1022.26","60","0","Clouds","scattered clouds","44","1.22","0"
"20180715","60000","289.835","289.835","289.835","1021.62","70","0","Clouds","few clouds","20","1.51","0"
"20180715","90000","289.369","289.369","289.369","1021.62","74","0","Clear","clear sky","8","2.06","0"
"20180715","120000","293.901","293.901","293.901","1022.36","61","0","Clouds","scattered clouds","44","1.91","0"
"20180715","150000","298.512","298.512","298.512","1022.36","52","0","Clouds","few clouds","24","2.66","0"
"20180715","180000","300.249","300.249","300.249","1022.06","46","0","Clouds","few clouds","20","3.52","0"
"20180715","210000","299.151","299.151","299.151","1022","43","0","Clouds","scattered clouds","32","3.28","0"
"20180716","0","295.813","295.813","295.813","1022.44","47","0","Clouds","scattered clouds","48","2.11","0"
"20180716","30000","291.536","291.536","291.536","1022.64","67","0","Clouds","broken clouds","64","0.91","0"
"20180716","60000","290.272","290.272","290.272","1021.89","70","0","Clouds","broken clouds","76","1.07","0"
"20180716","90000","290.274","290.274","290.274","1021.62","68","0","Clouds","overcast clouds","88","1.06","0"
"20180716","120000","294.725","294.725","294.725","1022.09","56","0","Clouds","overcast clouds","88","1.47","0"
"20180716","150000","299.537","299.537","299.537","1021.79","49","0","Clouds","broken clouds","76","1.16","0"
