"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180716","180000","306.03","304.757","306.03","1017.11","56","1.27","Clouds","few clouds","20","2.65","0"
"20180716","210000","305.82","304.861","305.82","1015.62","52","0.95","Clear","clear sky","8","3","0"
"20180717","0","302.92","302.283","302.92","1015.44","56","0.64","Clear","clear sky","8","2.66","0"
"20180717","30000","299.98","299.665","299.98","1016.4","60","0.32","Clear","clear sky","0","3.42","0"
"20180717","60000","297.509","297.509","297.509","1016.14","64","0","Clear","clear sky","0","2.96","0"
"20180717","90000","295.454","295.454","295.454","1015.11","78","0","Clear","clear sky","0","2.31","0"
"20180717","120000","296.777","296.777","296.777","1015.15","82","0","Clear","clear sky","0","2","0"
"20180717","150000","302.054","302.054","302.054","1014.77","68","0","Clear","clear sky","8","2.56","0"
"20180717","180000","305.188","305.188","305.188","1012.61","60","0","Clear","clear sky","0","3.02","0"
"20180717","210000","300.049","300.049","300.049","1011.44","93","0","Rain","moderate rain","56","2.56","3.87"
"20180718","0","298.521","298.521","298.521","1011.75","91","0","Rain","moderate rain","64","1.76","4.6"
"20180718","30000","296.936","296.936","296.936","1013.04","95","0","Clouds","broken clouds","80","2.25","0"
"20180718","60000","295.798","295.798","295.798","1013.21","96","0","Rain","light rain","36","1.41","1.815"
"20180718","90000","294.218","294.218","294.218","1013.71","84","0","Clouds","scattered clouds","48","2.96","0"
"20180718","120000","294.467","294.467","294.467","1014.48","80","0","Clouds","scattered clouds","36","2.98","0"
"20180718","150000","299.4","299.4","299.4","1015.41","74","0","Clear","clear sky","0","2.62","0"
"20180718","180000","301.833","301.833","301.833","1014.31","65","0","Clear","clear sky","0","2.22","0"
"20180718","210000","302.336","302.336","302.336","1013.29","56","0","Clear","clear sky","0","1.97","0"
"20180719","0","299.502","299.502","299.502","1013.9","60","0","Clouds","few clouds","12","2.14","0"
"20180719","30000","296.553","296.553","296.553","1015.52","63","0","Clouds","few clouds","20","2.38","0"
"20180719","60000","293.868","293.868","293.868","1015.38","66","0","Clear","clear sky","0","2.36","0"
"20180719","90000","291.274","291.274","291.274","1015.77","78","0","Clear","clear sky","0","1.31","0"
"20180719","120000","294.951","294.951","294.951","1017.31","71","0","Clear","clear sky","0","2.72","0"
"20180719","150000","300.115","300.115","300.115","1018.17","61","0","Clear","clear sky","0","2.32","0"
"20180719","180000","301.818","301.818","301.818","1017.63","53","0","Clear","clear sky","0","2.87","0"
"20180719","210000","301.507","301.507","301.507","1017.14","50","0","Clouds","scattered clouds","48","2.56","0"
"20180720","0","298.782","298.782","298.782","1017.74","57","0","Clouds","few clouds","12","1.86","0"
"20180720","30000","293.877","293.877","293.877","1018.73","78","0","Clear","clear sky","0","1.1","0"
"20180720","60000","292.022","292.022","292.022","1019.09","78","0","Clear","clear sky","0","2.33","0"
"20180720","90000","290.097","290.097","290.097","1019.48","88","0","Clear","clear sky","0","1.31","0"
"20180720","120000","293.639","293.639","293.639","1020.35","83","0","Clouds","few clouds","24","1.67","0"
"20180720","150000","298.91","298.91","298.91","1020.8","61","0","Clouds","scattered clouds","48","1.77","0"
"20180720","180000","300.959","300.959","300.959","1020.01","48","0","Clouds","scattered clouds","44","2.66","0"
"20180720","210000","301.316","301.316","301.316","1018.89","45","0","Clear","clear sky","0","2.57","0"
"20180721","0","298.684","298.684","298.684","1018.7","54","0","Clouds","scattered clouds","48","2.07","0"
"20180721","30000","296.714","296.714","296.714","1018.64","70","0","Clouds","scattered clouds","32","2.26","0"
"20180721","60000","294.461","294.461","294.461","1018.12","86","0","Rain","light rain","8","2.11","0.015000000000001"
"20180721","90000","292.97","292.97","292.97","1017.51","97","0","Rain","light rain","24","1.71","0.029999999999999"
"20180721","120000","294.753","294.753","294.753","1017.44","92","0","Rain","light rain","76","1.76","0.02"
"20180721","150000","300.194","300.194","300.194","1016.94","72","0","Rain","light rain","32","2.06","0.0099999999999998"
