"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180704","210000","304.99","304.99","304.991","1030.35","61","0","Clouds","few clouds","24","2.56","0"
"20180705","0","302.36","302.36","302.363","1031.1","66","0","Clouds","few clouds","12","2.04","0"
"20180705","30000","299.08","299.08","299.083","1032.24","80","0","Clouds","scattered clouds","32","1.73","0"
"20180705","60000","297.91","297.91","297.914","1032.23","85","0","Clouds","scattered clouds","36","1.66","0"
"20180705","90000","296.971","296.971","296.971","1032.3","88","0","Clouds","scattered clouds","44","1.57","0"
"20180705","120000","298.808","298.808","298.808","1033.06","82","0","Clouds","few clouds","20","1.56","0"
"20180705","150000","302.756","302.756","302.756","1032.81","73","0","Clouds","few clouds","12","1.6","0"
"20180705","180000","303.616","303.616","303.616","1031.52","67","0","Clouds","broken clouds","80","1.71","0"
"20180705","210000","303.464","303.464","303.464","1030.14","64","0","Clouds","overcast clouds","88","2.43","0"
"20180706","0","301.92","301.92","301.92","1029.83","68","0","Clouds","scattered clouds","48","2.16","0"
"20180706","30000","300.205","300.205","300.205","1030.25","74","0","Clouds","few clouds","12","2.56","0"
"20180706","60000","298.92","298.92","298.92","1029.09","80","0","Clouds","few clouds","12","2.72","0"
"20180706","90000","298.002","298.002","298.002","1028.06","85","0","Clear","clear sky","8","2.56","0"
"20180706","120000","299.342","299.342","299.342","1027.7","81","0","Clouds","few clouds","12","2.76","0"
"20180706","150000","302.801","302.801","302.801","1026.2","72","0","Clear","clear sky","8","2.96","0"
"20180706","180000","305.288","305.288","305.288","1023.14","63","0","Clouds","few clouds","20","3.14","0"
"20180706","210000","304.482","304.482","304.482","1021.18","64","0","Rain","light rain","76","3.01","0.63"
"20180707","0","295.527","295.527","295.527","1022.37","100","0","Rain","heavy intensity rain","88","2","12.29"
"20180707","30000","294.777","294.777","294.777","1022.72","99","0","Rain","heavy intensity rain","92","1.33","12.68"
"20180707","60000","295.154","295.154","295.154","1022.75","98","0","Rain","moderate rain","100","2.25","3.5"
"20180707","90000","293.097","293.097","293.097","1024.51","87","0","Rain","light rain","88","4.54","0.24"
"20180707","120000","291.662","291.662","291.662","1027.13","81","0","Rain","light rain","92","4.01","0.02"
"20180707","150000","293.394","293.394","293.394","1028.71","78","0","Rain","light rain","92","3.92","0.030000000000001"
"20180707","180000","295.375","295.375","295.375","1028.82","70","0","Clouds","overcast clouds","88","3.75","0"
"20180707","210000","295.033","295.033","295.033","1028.88","69","0","Clouds","overcast clouds","92","3.26","0"
"20180708","0","293.142","293.142","293.142","1029.53","72","0","Clouds","broken clouds","68","2.29","0"
"20180708","30000","289.131","289.131","289.131","1030.97","88","0","Clear","clear sky","0","1.41","0"
"20180708","60000","287.573","287.573","287.573","1031.34","92","0","Clear","clear sky","0","1.81","0"
"20180708","90000","285.179","285.179","285.179","1032.39","92","0","Clear","clear sky","0","1.06","0"
"20180708","120000","291.387","291.387","291.387","1033.52","86","0","Clear","clear sky","0","1.95","0"
"20180708","150000","296.079","296.079","296.079","1034.7","71","0","Clear","clear sky","8","2.4","0"
"20180708","180000","298.15","298.15","298.15","1034.33","60","0","Clear","clear sky","0","2.3","0"
"20180708","210000","298.69","298.69","298.69","1033.35","57","0","Clear","clear sky","0","1.56","0"
"20180709","0","295.716","295.716","295.716","1033.29","72","0","Clear","clear sky","0","1.32","0"
"20180709","30000","290.204","290.204","290.204","1034.3","74","0","Clear","clear sky","0","2.12","0"
"20180709","60000","286.577","286.577","286.577","1033.85","88","0","Clear","clear sky","0","1.07","0"
"20180709","90000","284.885","284.885","284.885","1033.22","87","0","Clear","clear sky","0","1.16","0"
"20180709","120000","291.862","291.862","291.862","1033.67","81","0","Clear","clear sky","0","2.16","0"
"20180709","150000","297.66","297.66","297.66","1033.32","65","0","Clear","clear sky","0","1.61","0"
"20180709","180000","300.645","300.645","300.645","1031.06","60","0","Clear","clear sky","0","1.76","0"
