"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180716","180000","306.04","301.307","306.04","835.53","22","4.73","Clear","clear sky","0","1.35","0"
"20180716","210000","307.61","304.061","307.61","834.61","13","3.55","Clear","clear sky","0","2.2","0"
"20180717","0","305.9","303.533","305.9","833.95","12","2.36","Clear","clear sky","0","3.21","0"
"20180717","30000","300.15","298.965","300.15","834.74","15","1.18","Clear","clear sky","0","2.57","0"
"20180717","60000","289.309","289.309","289.309","835.7","38","0","Clear","clear sky","0","1.06","0"
"20180717","90000","284.854","284.854","284.854","835.32","54","0","Clear","clear sky","0","1.06","0"
"20180717","120000","283.177","283.177","283.177","835.37","66","0","Clear","clear sky","0","1.1","0"
"20180717","150000","291.904","291.904","291.904","836.03","43","0","Clear","clear sky","0","1.51","0"
"20180717","180000","302.088","302.088","302.088","836.07","22","0","Clear","clear sky","0","1.32","0"
"20180717","210000","305.649","305.649","305.649","834.97","14","0","Clear","clear sky","0","1.41","0"
"20180718","0","305.821","305.821","305.821","834.14","13","0","Clear","clear sky","0","2.66","0"
"20180718","30000","301.286","301.286","301.286","834.79","16","0","Clear","clear sky","0","2.75","0"
"20180718","60000","291.398","291.398","291.398","835.68","40","0","Clear","clear sky","0","1.06","0"
"20180718","90000","286.518","286.518","286.518","835.61","57","0","Clear","clear sky","0","1.06","0"
"20180718","120000","284.367","284.367","284.367","835.49","71","0","Clear","clear sky","0","0.98","0"
"20180718","150000","292.9","292.9","292.9","835.77","46","0","Clear","clear sky","0","1.27","0"
"20180718","180000","303.383","303.383","303.383","835.82","19","0","Clear","clear sky","0","1.07","0"
"20180718","210000","307.236","307.236","307.236","834.79","11","0","Clear","clear sky","0","1.49","0"
"20180719","0","306.402","306.402","306.402","834.02","10","0","Clear","clear sky","0","3.19","0"
"20180719","30000","301.453","301.453","301.453","834.27","13","0","Clear","clear sky","0","2.53","0"
"20180719","60000","290.868","290.868","290.868","835.02","39","0","Clear","clear sky","0","1.06","0"
"20180719","90000","286.024","286.024","286.024","834.52","56","0","Clear","clear sky","0","0.91","0"
"20180719","120000","284.251","284.251","284.251","834.52","68","0","Clear","clear sky","0","0.97","0"
"20180719","150000","292.915","292.915","292.915","835.14","44","0","Clear","clear sky","0","1.12","0"
"20180719","180000","303.268","303.268","303.268","835.08","17","0","Clear","clear sky","0","1.22","0"
"20180719","210000","306.857","306.857","306.857","834.11","13","0","Clouds","few clouds","20","1.36","0"
"20180720","0","306.632","306.632","306.632","832.84","13","0","Clouds","few clouds","20","2.41","0"
"20180720","30000","302.027","302.027","302.027","833.35","16","0","Clouds","broken clouds","56","2.45","0"
"20180720","60000","294.622","294.622","294.622","834.27","28","0","Clouds","overcast clouds","88","1.13","0"
"20180720","90000","290.447","290.447","290.447","833.94","38","0","Clouds","broken clouds","68","0.91","0"
"20180720","120000","289.439","289.439","289.439","833.92","42","0","Clouds","overcast clouds","88","0.97","0"
"20180720","150000","294.71","294.71","294.71","834.61","28","0","Clouds","broken clouds","76","1.07","0"
"20180720","180000","301.259","301.259","301.259","834.87","21","0","Rain","light rain","76","1.41","0.039"
"20180720","210000","305.966","305.966","305.966","833.34","17","0","Rain","light rain","44","1.32","0.01"
"20180721","0","299.134","299.134","299.134","833.73","35","0","Rain","light rain","56","1.57","0.33"
"20180721","30000","293.814","293.814","293.814","834.63","57","0","Rain","light rain","44","0.66","0.37"
"20180721","60000","290.311","290.311","290.311","834.53","74","0","Rain","light rain","44","0.96","0.06"
"20180721","90000","290.17","290.17","290.17","834.31","70","0","Clouds","scattered clouds","44","1.06","0"
"20180721","120000","288.453","288.453","288.453","834.81","71","0","Clouds","few clouds","12","1.01","0"
"20180721","150000","294.094","294.094","294.094","835.68","47","0","Clouds","few clouds","12","1.46","0"
