"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180729","210000","297.47","296.343","297.47","1015.28","74","1.13","Rain","light rain","24","1.87","0.67"
"20180730","0","296.53","295.681","296.53","1015.23","75","0.84","Clouds","scattered clouds","36","2.12","0"
"20180730","30000","294.45","293.882","294.45","1015.98","76","0.56","Clear","clear sky","8","2.32","0"
"20180730","60000","292.52","292.241","292.52","1016.22","83","0.28","Clear","clear sky","0","2.56","0"
"20180730","90000","291.031","291.031","291.031","1016.39","86","0","Clear","clear sky","0","2.58","0"
"20180730","120000","293.166","293.166","293.166","1016.84","81","0","Clouds","scattered clouds","32","2.67","0"
"20180730","150000","296.614","296.614","296.614","1016.84","74","0","Clouds","broken clouds","76","1.81","0"
"20180730","180000","298.357","298.357","298.357","1016.73","60","0","Clear","clear sky","8","1.46","0"
"20180730","210000","298.964","298.964","298.964","1015.35","56","0","Clouds","few clouds","24","0.77","0"
"20180731","0","297.187","297.187","297.187","1015.11","76","0","Clouds","broken clouds","76","0.71","0"
"20180731","30000","294.977","294.977","294.977","1015.38","71","0","Clouds","overcast clouds","88","2.12","0"
"20180731","60000","293.745","293.745","293.745","1014.94","80","0","Clouds","scattered clouds","36","1.41","0"
"20180731","90000","292.535","292.535","292.535","1014.64","84","0","Clouds","scattered clouds","32","1.56","0"
"20180731","120000","293.864","293.864","293.864","1014.37","84","0","Clouds","scattered clouds","48","2.15","0"
"20180731","150000","296.62","296.62","296.62","1014.28","75","0","Clouds","broken clouds","76","2.36","0"
"20180731","180000","297.419","297.419","297.419","1013.26","68","0","Clouds","broken clouds","76","2.42","0"
"20180731","210000","297.513","297.513","297.513","1011.71","69","0","Clouds","broken clouds","80","2.75","0"
"20180801","0","296.51","296.51","296.51","1011.02","75","0","Rain","light rain","88","2.66","0.02"
"20180801","30000","294.387","294.387","294.387","1010.7","89","0","Rain","light rain","92","3.12","0.34"
"20180801","60000","293.414","293.414","293.414","1009.4","95","0","Rain","light rain","88","2.3","0.51"
"20180801","90000","292.959","292.959","292.959","1007.59","97","0","Rain","light rain","68","1.95","0.010000000000001"
"20180801","120000","293.517","293.517","293.517","1006.85","96","0","Rain","light rain","92","1.96","0.13"
"20180801","150000","295.023","295.023","295.023","1005.87","94","0","Rain","light rain","92","1.97","0.38"
"20180801","180000","296.861","296.861","296.861","1004.74","86","0","Rain","light rain","48","1.85","0.069999999999999"
"20180801","210000","297.047","297.047","297.047","1003.97","87","0","Rain","light rain","68","2.56","0.95"
