"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180704","210000","300.44","300.44","300.741","983.74","53","-0.3","Clear","clear sky","0","2.31","0"
"20180705","0","299.04","299.04","299.263","983.36","50","-0.23","Clear","clear sky","0","1.94","0"
"20180705","30000","294.48","294.48","294.633","983.36","58","-0.15","Clear","clear sky","0","1.5","0"
"20180705","60000","288.04","288.04","288.114","983.83","92","-0.08","Clear","clear sky","0","1.06","0"
"20180705","90000","286.071","286.071","286.071","983.42","91","0","Clear","clear sky","0","0.77","0"
"20180705","120000","284.508","284.508","284.508","983.7","92","0","Clear","clear sky","8","1.06","0"
"20180705","150000","293.456","293.456","293.456","984","64","0","Clear","clear sky","0","1.4","0"
"20180705","180000","301.366","301.366","301.366","984.18","53","0","Clear","clear sky","8","1.81","0"
"20180705","210000","303.164","303.164","303.164","983.77","50","0","Clear","clear sky","0","2.13","0"
"20180706","0","302.72","302.72","302.72","982.81","46","0","Clear","clear sky","0","1.81","0"
"20180706","30000","297.705","297.705","297.705","982.51","54","0","Clear","clear sky","0","1.16","0"
"20180706","60000","290.47","290.47","290.47","983.45","90","0","Clear","clear sky","0","1.02","0"
"20180706","90000","288.702","288.702","288.702","982.34","89","0","Clouds","scattered clouds","36","1.01","0"
"20180706","120000","289.092","289.092","289.092","981.17","82","0","Clouds","few clouds","12","1.06","0"
"20180706","150000","296.951","296.951","296.951","981.62","59","0","Clear","clear sky","0","1.28","0"
"20180706","180000","305.138","305.138","305.138","981.48","48","0","Clear","clear sky","8","1.74","0"
"20180706","210000","306.832","306.832","306.832","980.09","44","0","Clear","clear sky","0","1.88","0"
"20180707","0","306.277","306.277","306.277","978.68","41","0","Clear","clear sky","0","2.13","0"
"20180707","30000","301.277","301.277","301.277","979.04","48","0","Clear","clear sky","0","1.11","0"
"20180707","60000","294.054","294.054","294.054","979.72","81","0","Clear","clear sky","0","0.23","0"
"20180707","90000","292.397","292.397","292.397","978.78","81","0","Clear","clear sky","0","0.91","0"
"20180707","120000","291.462","291.462","291.462","978.09","82","0","Clouds","few clouds","12","0.61","0"
"20180707","150000","299.694","299.694","299.694","978.45","54","0","Clear","clear sky","0","0.85","0"
"20180707","180000","307.275","307.275","307.275","978.65","45","0","Clear","clear sky","0","1.6","0"
"20180707","210000","307.533","307.533","307.533","977.82","45","0","Clouds","few clouds","20","1.76","0"
"20180708","0","305.992","305.992","305.992","977.33","45","0","Rain","light rain","20","2.14","0.14"
"20180708","30000","300.531","300.531","300.531","978.04","48","0","Rain","light rain","24","1.71","0.09"
"20180708","60000","295.073","295.073","295.073","978.41","68","0","Clouds","few clouds","20","0.76","0"
"20180708","90000","292.579","292.579","292.579","978","83","0","Clear","clear sky","0","1.06","0"
"20180708","120000","291.187","291.187","291.187","977.83","89","0","Clear","clear sky","0","1","0"
"20180708","150000","297.579","297.579","297.579","978.85","60","0","Clear","clear sky","0","1.65","0"
"20180708","180000","304.55","304.55","304.55","979.21","49","0","Clear","clear sky","0","1.95","0"
"20180708","210000","305.74","305.74","305.74","978.72","44","0","Clear","clear sky","0","2.46","0"
"20180709","0","304.066","304.066","304.066","978.09","42","0","Clear","clear sky","0","2.12","0"
"20180709","30000","299.804","299.804","299.804","978.52","50","0","Clear","clear sky","8","1.52","0"
"20180709","60000","293.677","293.677","293.677","979.46","78","0","Clear","clear sky","0","0.62","0"
"20180709","90000","291.535","291.535","291.535","978.99","89","0","Clear","clear sky","0","0.96","0"
"20180709","120000","290.712","290.712","290.712","979.11","89","0","Clear","clear sky","8","0.86","0"
"20180709","150000","297.16","297.16","297.16","979.74","61","0","Clear","clear sky","0","1.51","0"
"20180709","180000","303.595","303.595","303.595","980.24","52","0","Clear","clear sky","8","1.86","0"
