"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180729","210000","312.07","310.093","312.07","1002.39","37","1.97","Clear","clear sky","0","2.97","0"
"20180730","0","310.81","309.331","310.81","1000.96","33","1.48","Clear","clear sky","0","3.77","0"
"20180730","30000","306.47","305.482","306.47","1002.28","42","0.99","Clouds","scattered clouds","48","3.92","0"
"20180730","60000","303.08","302.591","303.08","1004.22","45","0.49","Clear","clear sky","0","4.36","0"
"20180730","90000","299.331","299.331","299.331","1004.23","64","0","Clear","clear sky","0","2.98","0"
"20180730","120000","297.066","297.066","297.066","1004.28","81","0","Clear","clear sky","8","1.77","0"
"20180730","150000","303.364","303.364","303.364","1004.36","58","0","Clear","clear sky","0","2.56","0"
"20180730","180000","308.257","308.257","308.257","1003.67","46","0","Clear","clear sky","0","2.51","0"
"20180730","210000","309.814","309.814","309.814","1001.57","37","0","Clear","clear sky","0","3.02","0"
"20180731","0","309.037","309.037","309.037","1000.04","34","0","Clear","clear sky","0","3.46","0"
"20180731","30000","305.077","305.077","305.077","1001.44","43","0","Clouds","scattered clouds","32","3.57","0"
"20180731","60000","302.545","302.545","302.545","1003.03","49","0","Clouds","few clouds","12","4.66","0"
"20180731","90000","299.685","299.685","299.685","1003.28","66","0","Clear","clear sky","0","3.41","0"
"20180731","120000","297.964","297.964","297.964","1003.35","79","0","Clear","clear sky","8","1.95","0"
"20180731","150000","303.22","303.22","303.22","1005.29","59","0","Clear","clear sky","0","2.21","0"
"20180731","180000","307.419","307.419","307.419","1004.59","51","0","Clear","clear sky","0","2.67","0"
"20180731","210000","308.963","308.963","308.963","1002.47","42","0","Clouds","scattered clouds","36","3.45","0"
"20180801","0","306.26","306.26","306.26","1001.78","44","0","Clouds","broken clouds","68","4.31","0"
"20180801","30000","301.637","301.637","301.637","1003.33","60","0","Rain","light rain","12","3.57","0.27"
"20180801","60000","299.364","299.364","299.364","1004.7","72","0","Clear","clear sky","8","2.1","0"
"20180801","90000","297.809","297.809","297.809","1004.67","74","0","Clear","clear sky","0","2.95","0"
"20180801","120000","296.767","296.767","296.767","1005.15","64","0","Clear","clear sky","0","3.46","0"
"20180801","150000","302.173","302.173","302.173","1006.11","52","0","Clear","clear sky","0","3.42","0"
"20180801","180000","305.661","305.661","305.661","1005.23","44","0","Clear","clear sky","0","3.65","0"
"20180801","210000","307.597","307.597","307.597","1002.75","37","0","Clear","clear sky","0","3.81","0"
