"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180801","0","298.81","298.81","301.481","1031","100","-2.67","Clouds","scattered clouds","48","6.58","0"
"20180801","30000","299.2","299.2","301.201","1032.04","100","-2","Clouds","overcast clouds","92","6.11","0"
"20180801","60000","299.73","299.73","301.065","1031.75","100","-1.34","Clouds","broken clouds","80","6.16","0"
"20180801","90000","300.51","300.51","301.174","1030.98","100","-0.67","Clouds","overcast clouds","88","6.76","0"
"20180801","120000","301.525","301.525","301.525","1031.31","100","0","Clouds","overcast clouds","88","7.37","0"
"20180801","150000","301.667","301.667","301.667","1032.07","100","0","Clouds","overcast clouds","92","7.21","0"
"20180801","180000","302.313","302.313","302.313","1031.53","97","0","Clouds","broken clouds","80","7.21","0"
"20180801","210000","301.692","301.692","301.692","1029.97","100","0","Clouds","scattered clouds","44","8.37","0"
"20180802","0","301.44","301.44","301.44","1029.97","100","0","Clouds","overcast clouds","92","8.5","0"
"20180802","30000","301.712","301.712","301.712","1030.97","100","0","Clouds","broken clouds","76","8.95","0"
"20180802","60000","301.835","301.835","301.835","1030.51","99","0","Clouds","broken clouds","56","8.37","0"
"20180802","90000","301.559","301.559","301.559","1030.26","100","0","Clouds","broken clouds","80","7.03","0"
"20180802","120000","301.346","301.346","301.346","1030.98","100","0","Rain","light rain","80","5.67","0.005"
"20180802","150000","300.755","300.755","300.755","1031.87","100","0","Rain","moderate rain","88","5.16","8.66"
"20180802","180000","300.388","300.388","300.388","1031.76","100","0","Rain","moderate rain","68","6.51","4.17"
"20180802","210000","300.713","300.713","300.713","1030.76","100","0","Clouds","scattered clouds","36","7.02","0"
"20180803","0","301.279","301.279","301.279","1031.25","100","0","Clouds","broken clouds","76","6.52","0"
"20180803","30000","299.682","299.682","299.682","1032.07","100","0","Rain","moderate rain","64","6.15","8.24"
"20180803","60000","298.66","298.66","298.66","1031.86","100","0","Rain","heavy intensity rain","76","5.06","12.345"
"20180803","90000","297.824","297.824","297.824","1031.55","100","0","Rain","moderate rain","88","4.41","8.675"
"20180803","120000","297.746","297.746","297.746","1033","100","0","Rain","moderate rain","88","3.21","11.535"
"20180803","150000","299.172","299.172","299.172","1033.69","100","0","Rain","light rain","92","4.56","0.2"
"20180803","180000","299.197","299.197","299.197","1033.81","100","0","Rain","moderate rain","88","4.31","3.82"
"20180803","210000","301.132","301.132","301.132","1032.93","100","0","Clouds","scattered clouds","36","4.01","0"
"20180804","0","301.128","301.128","301.128","1033.12","100","0","Clouds","scattered clouds","32","5.11","0"
"20180804","30000","300.946","300.946","300.946","1034.1","100","0","Rain","light rain","0","5.41","0.0049999999999955"
"20180804","60000","300.835","300.835","300.835","1033.88","100","0","Clouds","scattered clouds","36","5.41","0"
"20180804","90000","300.69","300.69","300.69","1033.5","100","0","Clouds","overcast clouds","88","4.65","0"
"20180804","120000","300.952","300.952","300.952","1034.57","100","0","Clouds","overcast clouds","92","3.46","0"
"20180804","150000","301.296","301.296","301.296","1036.01","100","0","Clouds","broken clouds","68","2.57","0"
"20180804","180000","301.764","301.764","301.764","1035.69","100","0","Clear","clear sky","8","3.1","0"
"20180804","210000","301.641","301.641","301.641","1034.75","100","0","Clear","clear sky","0","4.16","0"
"20180805","0","300.919","300.919","300.919","1034.82","100","0","Clouds","few clouds","20","4.76","0"
"20180805","30000","300.383","300.383","300.383","1036.13","100","0","Clear","clear sky","8","4.01","0"
"20180805","60000","300.263","300.263","300.263","1036.04","100","0","Clouds","scattered clouds","44","3.56","0"
"20180805","90000","300.439","300.439","300.439","1035.67","100","0","Clouds","broken clouds","56","3.2","0"
"20180805","120000","300.668","300.668","300.668","1036.54","100","0","Clouds","broken clouds","56","2.92","0"
"20180805","150000","301.285","301.285","301.285","1037.72","100","0","Clouds","broken clouds","68","3.16","0"
"20180805","180000","301.799","301.799","301.799","1037.21","100","0","Clear","clear sky","8","3.7","0"
"20180805","210000","302.021","302.021","302.021","1036.06","99","0","Clear","clear sky","0","3.96","0"
