"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180801","0","298.17","298.17","299.981","1017.47","47","-1.81","Clear","clear sky","0","2.53","0"
"20180801","30000","296.17","296.17","297.526","1016.96","54","-1.36","Clear","clear sky","0","2.46","0"
"20180801","60000","292.46","292.46","293.365","1018.3","68","-0.9","Clear","clear sky","0","2.46","0"
"20180801","90000","289.97","289.97","290.424","1018.74","80","-0.45","Clear","clear sky","0","2.11","0"
"20180801","120000","288.225","288.225","288.225","1019.07","90","0","Clear","clear sky","0","1.97","0"
"20180801","150000","289.217","289.217","289.217","1019.66","84","0","Rain","light rain","8","1.86","0.005"
"20180801","180000","293.813","293.813","293.813","1019.21","64","0","Rain","light rain","0","1.81","0.005"
"20180801","210000","297.592","297.592","297.592","1017.97","53","0","Clear","clear sky","0","2.17","0"
"20180802","0","298.99","298.99","298.99","1016.43","48","0","Clear","clear sky","0","2.4","0"
"20180802","30000","296.712","296.712","296.712","1016.14","51","0","Clear","clear sky","0","3.15","0"
"20180802","60000","292.485","292.485","292.485","1017.37","61","0","Clear","clear sky","0","3.62","0"
"20180802","90000","289.359","289.359","289.359","1017.7","77","0","Clear","clear sky","0","3.78","0"
"20180802","120000","287.746","287.746","287.746","1018.26","89","0","Rain","light rain","68","3.77","0.005"
"20180802","150000","288.755","288.755","288.755","1018.9","85","0","Rain","light rain","92","3.56","0.14"
"20180802","180000","291.138","291.138","291.138","1019.36","73","0","Rain","light rain","76","3.81","0.06"
"20180802","210000","293.913","293.913","293.913","1019.09","61","0","Clouds","scattered clouds","32","4.02","0"
"20180803","0","294.529","294.529","294.529","1018.68","57","0","Clear","clear sky","8","4.22","0"
"20180803","30000","292.282","292.282","292.282","1019.02","66","0","Clouds","scattered clouds","36","4","0"
"20180803","60000","290.311","290.311","290.311","1019.95","74","0","Rain","light rain","68","3.66","0.02"
"20180803","90000","289.224","289.224","289.224","1020.12","81","0","Rain","light rain","68","3.61","0.01"
"20180803","120000","288.646","288.646","288.646","1020.19","84","0","Clouds","overcast clouds","88","3.61","0"
"20180803","150000","289.322","289.322","289.322","1020.8","82","0","Rain","light rain","80","3.76","0.02"
"20180803","180000","291.847","291.847","291.847","1021.16","70","0","Rain","light rain","80","3.51","0.025"
"20180803","210000","292.782","292.782","292.782","1021.25","66","0","Rain","light rain","92","3.11","0.075"
"20180804","0","292.278","292.278","292.278","1021.04","72","0","Rain","light rain","92","2.51","0.19"
"20180804","30000","291.446","291.446","291.446","1020.65","74","0","Rain","light rain","92","2.86","0.055"
"20180804","60000","290.435","290.435","290.435","1020.67","75","0","Clouds","broken clouds","76","3.36","0"
"20180804","90000","289.14","289.14","289.14","1020.21","80","0","Rain","light rain","92","3.4","0.01"
"20180804","120000","287.952","287.952","287.952","1019.9","85","0","Rain","light rain","64","3.66","0.04"
"20180804","150000","288.346","288.346","288.346","1019.55","84","0","Rain","light rain","92","3.52","0.02"
"20180804","180000","290.514","290.514","290.514","1018.67","73","0","Rain","light rain","68","3.3","0.02"
"20180804","210000","293.241","293.241","293.241","1016.92","62","0","Clouds","scattered clouds","36","3.21","0"
"20180805","0","294.219","294.219","294.219","1014.8","59","0","Clouds","scattered clouds","36","3.31","0"
"20180805","30000","292.083","292.083","292.083","1013.68","68","0","Clouds","broken clouds","68","2.96","0"
"20180805","60000","290.313","290.313","290.313","1012.69","77","0","Rain","light rain","80","1.96","0.01"
"20180805","90000","288.489","288.489","288.489","1011.36","95","0","Rain","light rain","92","1.3","0.96"
"20180805","120000","287.868","287.868","287.868","1009.72","99","0","Rain","light rain","92","1.17","2.66"
"20180805","150000","288.185","288.185","288.185","1008.45","99","0","Rain","moderate rain","92","1.06","3.24"
"20180805","180000","288.799","288.799","288.799","1008.44","99","0","Rain","moderate rain","92","1.45","3.8"
"20180805","210000","289.421","289.421","289.421","1008.33","98","0","Rain","moderate rain","92","1.61","4.8"
