"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180716","180000","294.27","290.457","294.27","1021.16","81","3.82","Rain","light rain","12","1.3","0.0625"
"20180716","210000","296.32","293.461","296.32","1020.65","70","2.86","Rain","light rain","8","2.2","0.0025"
"20180717","0","295.29","293.383","295.29","1019.9","68","1.91","Rain","light rain","8","2.61","0.005"
"20180717","30000","291.37","290.415","291.37","1019.64","83","0.95","Rain","light rain","12","2.07","0.005"
"20180717","60000","287.009","287.009","287.009","1020.19","100","0","Rain","light rain","64","1.61","0.01"
"20180717","90000","286.654","286.654","286.654","1019.9","100","0","Rain","light rain","88","1.31","0.105"
"20180717","120000","286.677","286.677","286.677","1019.78","100","0","Rain","light rain","88","1.15","0.17"
"20180717","150000","287.354","287.354","287.354","1020.53","99","0","Rain","light rain","80","1.01","0.13"
"20180717","180000","291.138","291.138","291.138","1020.88","81","0","Rain","light rain","12","1.22","0.05"
"20180717","210000","294.499","294.499","294.499","1020.03","68","0","Rain","light rain","0","1.91","0.005"
"20180718","0","294.671","294.671","294.671","1019.13","65","0","Rain","light rain","0","2.06","0.005"
"20180718","30000","291.736","291.736","291.736","1018.71","75","0","Clear","clear sky","0","1.75","0"
"20180718","60000","287.348","287.348","287.348","1019.45","100","0","Rain","light rain","20","2.01","0.005"
"20180718","90000","286.468","286.468","286.468","1019.14","100","0","Rain","light rain","64","1.46","0.02"
"20180718","120000","286.517","286.517","286.517","1018.53","100","0","Rain","light rain","68","1.23","0.065"
"20180718","150000","287.05","287.05","287.05","1018.97","100","0","Rain","light rain","44","1.02","0.085"
"20180718","180000","292.283","292.283","292.283","1019.26","75","0","Rain","light rain","0","1.07","0.025"
"20180718","210000","295.786","295.786","295.786","1018.96","62","0","Clear","clear sky","0","2.14","0"
"20180719","0","294.702","294.702","294.702","1017.95","62","0","Clear","clear sky","0","2.57","0"
"20180719","30000","291.353","291.353","291.353","1017.71","74","0","Clear","clear sky","8","2.13","0"
"20180719","60000","287.118","287.118","287.118","1018.3","100","0","Rain","light rain","36","1.61","0.01"
"20180719","90000","285.974","285.974","285.974","1017.8","100","0","Rain","light rain","68","1.06","0.05"
"20180719","120000","286.051","286.051","286.051","1017.96","100","0","Rain","light rain","80","0.97","0.11"
"20180719","150000","286.665","286.665","286.665","1018.26","100","0","Rain","light rain","56","0.42","0.09"
"20180719","180000","291.868","291.868","291.868","1018.11","74","0","Rain","light rain","68","1.02","0.01"
"20180719","210000","294.907","294.907","294.907","1018.28","61","0","Clouds","broken clouds","56","2.06","0"
"20180720","0","294.532","294.532","294.532","1017.33","59","0","Clear","clear sky","8","2.31","0"
"20180720","30000","292.077","292.077","292.077","1017.35","70","0","Clouds","few clouds","24","1.6","0"
"20180720","60000","288.872","288.872","288.872","1017.63","91","0","Clouds","scattered clouds","48","0.98","0"
"20180720","90000","287.647","287.647","287.647","1017.21","100","0","Rain","light rain","44","1.16","0.0099999999999998"
"20180720","120000","287.839","287.839","287.839","1017.11","99","0","Rain","light rain","76","0.42","0.02"
"20180720","150000","289.26","289.26","289.26","1017.48","93","0","Clouds","few clouds","24","0.52","0"
"20180720","180000","293.509","293.509","293.509","1018.39","68","0","Clear","clear sky","0","1.11","0"
"20180720","210000","295.766","295.766","295.766","1017.76","58","0","Rain","light rain","8","1.87","0.01"
"20180721","0","294.684","294.684","294.684","1018.13","60","0","Rain","light rain","24","4.32","0.01"
"20180721","30000","291.664","291.664","291.664","1018.24","74","0","Rain","light rain","12","2.06","0.01"
"20180721","60000","288.761","288.761","288.761","1019.18","95","0","Clouds","few clouds","12","2.01","0"
"20180721","90000","288.32","288.32","288.32","1019.29","98","0","Rain","light rain","76","1.46","0.03"
"20180721","120000","288.703","288.703","288.703","1019.63","97","0","Rain","light rain","92","1.06","0.08"
"20180721","150000","289.544","289.544","289.544","1020.5","93","0","Rain","light rain","88","0.76","0.06"
