"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180704","210000","306.95","306.541","306.95","1016.9","77","0.41","Clouds","few clouds","12","3.16","0"
"20180705","0","305.87","305.563","305.87","1016.76","79","0.31","Clear","clear sky","0","1.81","0"
"20180705","30000","301.19","300.983","301.19","1017.73","83","0.2","Clear","clear sky","0","1.75","0"
"20180705","60000","299.22","299.114","299.22","1018.04","83","0.1","Clear","clear sky","0","2.56","0"
"20180705","90000","296.921","296.921","296.921","1018.52","89","0","Clear","clear sky","0","1.22","0"
"20180705","120000","299.058","299.058","299.058","1019.12","88","0","Clear","clear sky","0","1.01","0"
"20180705","150000","305.106","305.106","305.106","1019.76","89","0","Clear","clear sky","0","2.15","0"
"20180705","180000","307.366","307.366","307.366","1019.2","82","0","Clear","clear sky","0","2.16","0"
"20180705","210000","307.764","307.764","307.764","1017.58","71","0","Clear","clear sky","0","2.83","0"
"20180706","0","306.22","306.22","306.22","1017.18","71","0","Clear","clear sky","0","2.41","0"
"20180706","30000","301.205","301.205","301.205","1018.09","72","0","Clear","clear sky","0","2.76","0"
"20180706","60000","298.32","298.32","298.32","1017.82","88","0","Clear","clear sky","0","1.42","0"
"20180706","90000","298.052","298.052","298.052","1018.34","90","0","Clouds","few clouds","20","3.66","0"
"20180706","120000","296.192","296.192","296.192","1019.43","100","0","Rain","light rain","88","3.46","2.43"
"20180706","150000","300.401","300.401","300.401","1019.8","92","0","Rain","light rain","32","4.31","0.39"
"20180706","180000","302.738","302.738","302.738","1018.92","80","0","Clear","clear sky","0","5.77","0"
"20180706","210000","302.282","302.282","302.282","1018.1","66","0","Clear","clear sky","0","6.96","0"
"20180707","0","299.227","299.227","299.227","1018.15","63","0","Clear","clear sky","0","6.3","0"
"20180707","30000","294.427","294.427","294.427","1019.16","62","0","Clear","clear sky","0","5.66","0"
"20180707","60000","291.454","291.454","291.454","1019.43","68","0","Clear","clear sky","0","4.58","0"
"20180707","90000","289.697","289.697","289.697","1019.16","73","0","Clear","clear sky","0","4.44","0"
"20180707","120000","290.512","290.512","290.512","1019.76","80","0","Clear","clear sky","0","5.11","0"
"20180707","150000","295.344","295.344","295.344","1020.12","76","0","Clear","clear sky","0","5.4","0"
"20180707","180000","297.975","297.975","297.975","1019.42","74","0","Clear","clear sky","0","5.05","0"
"20180707","210000","299.283","299.283","299.283","1017.7","64","0","Clear","clear sky","0","5.41","0"
"20180708","0","297.692","297.692","297.692","1016.73","64","0","Clear","clear sky","0","4.76","0"
"20180708","30000","293.281","293.281","293.281","1017.11","66","0","Clear","clear sky","0","4.46","0"
"20180708","60000","290.823","290.823","290.823","1017.15","73","0","Clear","clear sky","0","4.01","0"
"20180708","90000","288.329","288.329","288.329","1017.07","79","0","Clear","clear sky","0","3.41","0"
"20180708","120000","288.637","288.637","288.637","1017.95","88","0","Clear","clear sky","0","1.55","0"
"20180708","150000","295.529","295.529","295.529","1018.65","89","0","Clear","clear sky","0","2.45","0"
"20180708","180000","299.8","299.8","299.8","1018.11","90","0","Clear","clear sky","0","2.65","0"
"20180708","210000","300.49","300.49","300.49","1017.14","77","0","Clouds","scattered clouds","48","3.46","0"
"20180709","0","300.716","300.716","300.716","1016.76","74","0","Clear","clear sky","0","2.57","0"
"20180709","30000","296.554","296.554","296.554","1017.43","81","0","Clouds","scattered clouds","44","2.42","0"
"20180709","60000","295.977","295.977","295.977","1017.8","89","0","Clouds","broken clouds","76","2.22","0"
"20180709","90000","296.035","296.035","296.035","1018.14","92","0","Clouds","broken clouds","68","1.81","0"
"20180709","120000","296.562","296.562","296.562","1019","92","0","Clouds","scattered clouds","32","1.51","0"
"20180709","150000","299.61","299.61","299.61","1019.62","95","0","Clouds","scattered clouds","32","2.46","0"
"20180709","180000","301.495","301.495","301.495","1018.74","90","0","Clouds","few clouds","12","3.01","0"
