"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180716","180000","307.05","304.957","307.05","1004.95","54","2.1","Clouds","scattered clouds","44","1.8","0"
"20180716","210000","306.63","305.061","306.63","1003.05","52","1.57","Clouds","few clouds","20","1.5","0"
"20180717","0","303.23","302.183","303.23","1002.79","63","1.05","Clouds","broken clouds","68","1.51","0"
"20180717","30000","299.29","298.765","299.29","1003.1","70","0.52","Clouds","scattered clouds","36","2.27","0"
"20180717","60000","295.659","295.659","295.659","1001.71","94","0","Rain","light rain","44","1.16","2.575"
"20180717","90000","293.454","293.454","293.454","1002.06","99","0","Rain","moderate rain","92","1.21","9.05"
"20180717","120000","293.577","293.577","293.577","1001.22","99","0","Rain","heavy intensity rain","92","2.4","14.805"
"20180717","150000","295.254","295.254","295.254","1001.47","95","0","Rain","light rain","92","2.56","0.79"
"20180717","180000","297.338","297.338","297.338","1002","75","0","Rain","light rain","64","2.97","0.015000000000001"
"20180717","210000","296.699","296.699","296.699","1001.95","60","0","Clear","clear sky","0","3.96","0"
"20180718","0","294.171","294.171","294.171","1002.5","70","0","Clear","clear sky","0","3.36","0"
"20180718","30000","293.336","293.336","293.336","1003.23","74","0","Clouds","broken clouds","76","3.1","0"
"20180718","60000","293.148","293.148","293.148","1004.13","78","0","Rain","light rain","88","1.76","0.215"
"20180718","90000","292.318","292.318","292.318","1005.6","77","0","Rain","light rain","88","2.56","0.004999999999999"
"20180718","120000","291.967","291.967","291.967","1007.18","81","0","Clouds","scattered clouds","32","2.48","0"
"20180718","150000","293.4","293.4","293.4","1007.95","70","0","Clouds","few clouds","12","2.82","0"
"20180718","180000","294.133","294.133","294.133","1008.48","57","0","Clear","clear sky","0","3.22","0"
"20180718","210000","293.936","293.936","293.936","1008.67","47","0","Clear","clear sky","0","2.82","0"
"20180719","0","291.652","291.652","291.652","1009.44","58","0","Clear","clear sky","0","1.94","0"
"20180719","30000","288.303","288.303","288.303","1010.41","73","0","Clear","clear sky","0","1.63","0"
"20180719","60000","286.768","286.768","286.768","1010.84","81","0","Clear","clear sky","0","1.36","0"
"20180719","90000","285.724","285.724","285.724","1011.07","85","0","Clear","clear sky","0","1.11","0"
"20180719","120000","290.351","290.351","290.351","1012.28","78","0","Clear","clear sky","0","1.77","0"
"20180719","150000","295.915","295.915","295.915","1013.06","57","0","Clear","clear sky","0","1.47","0"
"20180719","180000","298.018","298.018","298.018","1012.28","47","0","Clear","clear sky","0","1.47","0"
"20180719","210000","298.207","298.207","298.207","1011.22","47","0","Clear","clear sky","0","1.21","0"
"20180720","0","295.232","295.232","295.232","1011.17","70","0","Clear","clear sky","0","0.91","0"
"20180720","30000","290.277","290.277","290.277","1012.16","72","0","Clear","clear sky","0","1.15","0"
"20180720","60000","288.172","288.172","288.172","1011.96","84","0","Clear","clear sky","0","1.18","0"
"20180720","90000","287.347","287.347","287.347","1012.11","86","0","Clear","clear sky","0","1.51","0"
"20180720","120000","292.439","292.439","292.439","1012.66","71","0","Clear","clear sky","0","2.07","0"
"20180720","150000","298.86","298.86","298.86","1012.94","54","0","Clear","clear sky","0","1.57","0"
"20180720","180000","300.809","300.809","300.809","1011.9","44","0","Clouds","few clouds","12","2.31","0"
"20180720","210000","300.566","300.566","300.566","1010.78","45","0","Clouds","broken clouds","80","2.12","0"
"20180721","0","297.184","297.184","297.184","1010.76","58","0","Clouds","few clouds","24","2.02","0"
"20180721","30000","294.264","294.264","294.264","1011.02","61","0","Clouds","scattered clouds","48","2.46","0"
"20180721","60000","293.311","293.311","293.311","1010.67","68","0","Clouds","few clouds","24","2.41","0"
"20180721","90000","292.27","292.27","292.27","1011.18","71","0","Clouds","few clouds","20","2.56","0"
"20180721","120000","293.553","293.553","293.553","1012.01","69","0","Clouds","scattered clouds","32","2.76","0"
"20180721","150000","297.944","297.944","297.944","1011.58","57","0","Clouds","few clouds","20","2.76","0"
