"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180722","210000","305.13","305.13","305.297","1021.36","73","-0.17","Clear","clear sky","0","6.47","0"
"20180723","0","302.61","302.61","302.741","1021.48","72","-0.13","Clear","clear sky","0","4.66","0"
"20180723","30000","300.9","300.9","300.987","1022.12","76","-0.09","Clear","clear sky","0","4.32","0"
"20180723","60000","300.06","300.06","300.105","1021.09","83","-0.04","Clear","clear sky","0","4.32","0"
"20180723","90000","299.88","299.88","299.88","1019.79","86","0","Clear","clear sky","0","4.67","0"
"20180723","120000","301.302","301.302","301.302","1020.54","82","0","Clouds","few clouds","24","4.66","0"
"20180723","150000","299.59","299.59","299.59","1021.67","100","0","Rain","heavy intensity rain","64","3.11","14.72"
"20180723","180000","301.934","301.934","301.934","1021.41","92","0","Rain","moderate rain","64","5.21","3.8"
"20180723","210000","302.984","302.984","302.984","1020.72","85","0","Clouds","scattered clouds","32","5.32","0"
"20180724","0","300.755","300.755","300.755","1021.13","79","0","Clouds","scattered clouds","44","3.52","0"
"20180724","30000","298.234","298.234","298.234","1022.7","89","0","Clear","clear sky","0","3.5","0"
"20180724","60000","297.975","297.975","297.975","1022.56","92","0","Clear","clear sky","8","3.37","0"
"20180724","90000","298.221","298.221","298.221","1022.34","94","0","Clear","clear sky","8","3.11","0"
"20180724","120000","298.627","298.627","298.627","1023.21","93","0","Rain","moderate rain","56","3.65","5.48"
"20180724","150000","298.709","298.709","298.709","1024.55","96","0","Rain","heavy intensity rain","76","3.86","15.79"
"20180724","180000","299.075","299.075","299.075","1024.9","100","0","Rain","moderate rain","88","3.56","8.63"
"20180724","210000","301.902","301.902","301.902","1023.25","91","0","Rain","light rain","12","5.76","0.009999999999998"
"20180725","0","300.927","300.927","300.927","1023.63","85","0","Clouds","scattered clouds","48","4.31","0"
"20180725","30000","300.024","300.024","300.024","1024.93","86","0","Clouds","overcast clouds","92","3.59","0"
"20180725","60000","299.213","299.213","299.213","1024.25","89","0","Clouds","broken clouds","64","3.81","0"
"20180725","90000","299.123","299.123","299.123","1024.04","89","0","Clouds","broken clouds","76","4.21","0"
"20180725","120000","298.855","298.855","298.855","1024.63","93","0","Rain","light rain","44","4.66","0.090000000000003"
"20180725","150000","300.881","300.881","300.881","1025.08","92","0","Clouds","broken clouds","80","5.66","0"
"20180725","180000","301.673","301.673","301.673","1024.76","85","0","Rain","light rain","56","6.62","0.019999999999996"
"20180725","210000","301.597","301.597","301.597","1023.62","87","0","Clouds","scattered clouds","44","6.65","0"
"20180726","0","300.472","300.472","300.472","1023.88","84","0","Clouds","broken clouds","68","4.75","0"
"20180726","30000","299.076","299.076","299.076","1024.85","87","0","Clouds","broken clouds","68","3.46","0"
"20180726","60000","298.941","298.941","298.941","1024.55","89","0","Rain","light rain","92","3.01","0.030000000000001"
"20180726","90000","297.248","297.248","297.248","1024.24","100","0","Rain","moderate rain","48","2.65","3.46"
"20180726","120000","296.194","296.194","296.194","1025.49","97","0","Rain","heavy intensity rain","88","1.76","13.61"
"20180726","150000","299.07","299.07","299.07","1026.61","100","0","Rain","light rain","76","2.2","0.19"
"20180726","180000","302.385","302.385","302.385","1025.81","93","0","Clouds","scattered clouds","44","2.96","0"
"20180726","210000","302.646","302.646","302.646","1024.55","88","0","Clear","clear sky","8","3.61","0"
"20180727","0","301.151","301.151","301.151","1025","86","0","Rain","light rain","12","2.12","0.3"
"20180727","30000","297.931","297.931","297.931","1026.64","91","0","Rain","light rain","8","1.31","1.83"
"20180727","60000","295.735","295.735","295.735","1026.39","96","0","Clear","clear sky","0","1.36","0"
"20180727","90000","294.582","294.582","294.582","1025.91","96","0","Clear","clear sky","0","1.31","0"
"20180727","120000","295.818","295.818","295.818","1026.67","97","0","Clear","clear sky","0","1.97","0"
"20180727","150000","302.073","302.073","302.073","1027.75","100","0","Clear","clear sky","0","2.06","0"
"20180727","180000","304.246","304.246","304.246","1026.96","96","0","Clear","clear sky","8","2.11","0"
