"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180716","180000","306.92","302.707","306.92","922.43","44","4.21","Rain","light rain","44","1.15","0.3625"
"20180716","210000","309.32","306.161","309.32","920.37","37","3.16","Clear","clear sky","0","2.2","0"
"20180717","0","309.09","306.983","309.09","918.82","30","2.1","Clouds","few clouds","20","2.21","0"
"20180717","30000","303.52","302.465","303.52","919.37","39","1.05","Clouds","few clouds","24","0.97","0"
"20180717","60000","297.109","297.109","297.109","920.33","59","0","Clouds","scattered clouds","32","1.06","0"
"20180717","90000","293.704","293.704","293.704","921.57","87","0","Rain","moderate rain","80","1.41","3.095"
"20180717","120000","292.377","292.377","292.377","922.43","97","0","Rain","moderate rain","76","1.25","6.415"
"20180717","150000","294.954","294.954","294.954","923.01","94","0","Rain","light rain","24","1.66","1.175"
"20180717","180000","300.938","300.938","300.938","922.96","87","0","Clear","clear sky","0","0.32","0"
"20180717","210000","303.199","303.199","303.199","921.14","77","0","Clouds","few clouds","20","0.91","0"
"20180718","0","303.671","303.671","303.671","919.82","62","0","Clouds","few clouds","12","1.31","0"
"20180718","30000","300.186","300.186","300.186","920.47","65","0","Clouds","few clouds","12","1.15","0"
"20180718","60000","295.898","295.898","295.898","921.77","79","0","Clouds","scattered clouds","48","1.16","0"
"20180718","90000","293.918","293.918","293.918","922.11","82","0","Clouds","scattered clouds","36","1.31","0"
"20180718","120000","292.217","292.217","292.217","922.72","86","0","Clear","clear sky","8","1.33","0"
"20180718","150000","297.8","297.8","297.8","923.97","73","0","Clear","clear sky","0","1.07","0"
"20180718","180000","303.033","303.033","303.033","923.37","60","0","Clear","clear sky","0","2.37","0"
"20180718","210000","304.936","304.936","304.936","921.2","54","0","Rain","light rain","8","2.94","0.425"
"20180719","0","304.752","304.752","304.752","919.95","48","0","Rain","light rain","24","1.92","1.11"
"20180719","30000","300.703","300.703","300.703","920.68","56","0","Clouds","few clouds","20","0.78","0"
"20180719","60000","295.518","295.518","295.518","921.83","77","0","Rain","light rain","8","0.86","0.0050000000000008"
"20180719","90000","293.774","293.774","293.774","921.17","85","0","Clear","clear sky","0","0.96","0"
"20180719","120000","292.651","292.651","292.651","921.66","89","0","Clear","clear sky","0","0.97","0"
"20180719","150000","299.565","299.565","299.565","922.52","61","0","Clear","clear sky","0","1.67","0"
"20180719","180000","304.168","304.168","304.168","921.9","50","0","Clear","clear sky","8","2.62","0"
"20180719","210000","306.757","306.757","306.757","919.87","43","0","Clear","clear sky","8","2.86","0"
"20180720","0","306.932","306.932","306.932","918.44","38","0","Clouds","few clouds","20","2.56","0"
"20180720","30000","302.877","302.877","302.877","918.95","45","0","Clouds","scattered clouds","36","1.2","0"
"20180720","60000","298.572","298.572","298.572","919.87","59","0","Rain","light rain","48","0.98","0.039999999999999"
"20180720","90000","296.797","296.797","296.797","920.19","65","0","Rain","light rain","68","1.11","0.56"
"20180720","120000","294.189","294.189","294.189","921.46","83","0","Rain","light rain","80","1.57","1.96"
"20180720","150000","296.16","296.16","296.16","921.91","82","0","Rain","light rain","32","1.57","0.78"
"20180720","180000","302.859","302.859","302.859","922.01","61","0","Clear","clear sky","0","1.61","0"
"20180720","210000","306.466","306.466","306.466","920.24","48","0","Clear","clear sky","0","2.57","0"
"20180721","0","307.284","307.284","307.284","919.08","37","0","Clouds","few clouds","24","2.07","0"
"20180721","30000","303.264","303.264","303.264","919.99","44","0","Clouds","scattered clouds","32","1.31","0"
"20180721","60000","297.961","297.961","297.961","921.26","65","0","Clouds","scattered clouds","32","0.76","0"
"20180721","90000","296.42","296.42","296.42","921.2","71","0","Rain","light rain","64","1.66","0.049999999999999"
"20180721","120000","295.953","295.953","295.953","921.55","74","0","Clouds","scattered clouds","44","1.36","0"
"20180721","150000","301.694","301.694","301.694","922.18","53","0","Clouds","scattered clouds","36","1.61","0"
