"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180704","210000","307.76","306.391","307.76","994.77","57","1.37","Clear","clear sky","0","3.61","0"
"20180705","0","304.79","303.763","304.79","994.62","64","1.03","Clear","clear sky","8","2.51","0"
"20180705","30000","298.72","298.033","298.72","996.33","80","0.68","Clear","clear sky","0","1.15","0"
"20180705","60000","295.91","295.564","295.91","996.4","88","0.34","Clear","clear sky","8","0.26","0"
"20180705","90000","294.221","294.221","294.221","996.71","90","0","Clouds","few clouds","12","0.77","0"
"20180705","120000","297.158","297.158","297.158","997.64","87","0","Clear","clear sky","0","1.51","0"
"20180705","150000","301.556","301.556","301.556","998.35","81","0","Clear","clear sky","0","1.75","0"
"20180705","180000","304.616","304.616","304.616","996.83","71","0","Rain","light rain","0","0.91","0.015"
"20180705","210000","305.364","305.364","305.364","995.45","65","0","Rain","light rain","32","1.53","0.06"
"20180706","0","300.32","300.32","300.32","995.62","83","0","Rain","light rain","8","1.86","1.615"
"20180706","30000","297.355","297.355","297.355","996.53","95","0","Rain","light rain","20","1.81","1.45"
"20180706","60000","294.97","294.97","294.97","996.66","96","0","Rain","moderate rain","44","1.52","8.4"
"20180706","90000","295.102","295.102","295.102","995.56","95","0","Rain","light rain","48","2.66","1.13"
"20180706","120000","296.442","296.442","296.442","995.92","94","0","Rain","light rain","44","2.41","0.13"
"20180706","150000","299.201","299.201","299.201","995.48","94","0","Rain","light rain","64","2.83","0.22"
"20180706","180000","300.238","300.238","300.238","993.88","91","0","Rain","light rain","44","2.74","0.19"
"20180706","210000","301.732","301.732","301.732","991.27","83","0","Clouds","broken clouds","68","2.61","0"
"20180707","0","295.377","295.377","295.377","991.08","100","0","Rain","moderate rain","80","2.55","5.26"
"20180707","30000","294.927","294.927","294.927","991.6","98","0","Rain","light rain","88","0.78","1.89"
"20180707","60000","294.504","294.504","294.504","991.23","100","0","Rain","light rain","92","2.03","0.41"
"20180707","90000","293.847","293.847","293.847","991.02","99","0","Rain","light rain","88","3.54","0.62"
"20180707","120000","293.962","293.962","293.962","991.79","96","0","Rain","light rain","80","4.26","0.12"
"20180707","150000","296.744","296.744","296.744","991.99","89","0","Clouds","scattered clouds","32","4.52","0"
"20180707","180000","299.525","299.525","299.525","991.54","84","0","Clouds","broken clouds","68","4","0"
"20180707","210000","299.133","299.133","299.133","990.95","81","0","Clouds","overcast clouds","88","3.71","0"
"20180708","0","298.092","298.092","298.092","991.27","81","0","Clouds","broken clouds","76","4.09","0"
"20180708","30000","295.981","295.981","295.981","992.31","81","0","Clouds","few clouds","24","3.76","0"
"20180708","60000","294.723","294.723","294.723","992.84","84","0","Clouds","overcast clouds","88","2.76","0"
"20180708","90000","293.779","293.779","293.779","993.32","86","0","Clouds","broken clouds","80","1.71","0"
"20180708","120000","294.037","294.037","294.037","994.77","88","0","Clouds","broken clouds","68","1.95","0"
"20180708","150000","297.529","297.529","297.529","996.2","85","0","Clouds","broken clouds","56","1.75","0"
"20180708","180000","300.25","300.25","300.25","996.31","79","0","Rain","light rain","48","1.6","0.099999999999998"
"20180708","210000","300.29","300.29","300.29","995.58","74","0","Rain","light rain","88","1.56","0.060000000000002"
"20180709","0","298.916","298.916","298.916","996.08","77","0","Clouds","broken clouds","76","1.62","0"
"20180709","30000","296.804","296.804","296.804","997.41","82","0","Clouds","broken clouds","56","2.17","0"
"20180709","60000","295.727","295.727","295.727","998.02","82","0","Clouds","broken clouds","56","2.37","0"
"20180709","90000","293.985","293.985","293.985","998.53","86","0","Clouds","scattered clouds","48","1.46","0"
"20180709","120000","294.362","294.362","294.362","999.54","86","0","Clouds","scattered clouds","48","1.76","0"
"20180709","150000","297.71","297.71","297.71","999.92","82","0","Clouds","few clouds","24","0.86","0"
"20180709","180000","300.095","300.095","300.095","998.64","82","0","Clouds","scattered clouds","44","0.41","0"
