index,name,id,lat,long,IATA
187213,Albany,5106834,42.65258,-73.756233,ALB
187246,Albuquerque,5454711,35.084492,-106.651138,ABQ
187432,Anchorage,5879400,61.21806,-149.900284,ANC
187746,Atlanta,4180439,33.749001,-84.387978,ATL
187824,Austin,4671654,30.267151,-97.743057,AUS
188589,Birmingham,4049979,33.52066,-86.80249,BHM
188757,Boise,5586437,43.613499,-116.203453,BOI
188842,Boston,4930956,42.358429,-71.059769,BOS
189301,Buffalo,5110629,42.886452,-78.878372,BUF
189341,Burbank,5331835,34.18084,-118.308968,BUR
189366,Burlington,5234372,44.47588,-73.212067,BTV
117803,Canton,5149222,40.79895,-81.378448,CAK
190110,Charleston,4574324,32.776569,-79.930923,CHS
190125,Charlotte,4460243,35.227089,-80.843132,CLT
190281,Chicago,4887398,41.850029,-87.650047,CHI
190376,Cincinnati,4508722,39.161999,-84.456886,CVG
190572,Cleveland,5150529,41.4995,-81.695412,CLE
190798,Colorado Springs,5417598,38.833881,-104.821358,COS
190836,Columbus,4509177,39.961182,-82.998787,CMH
191367,Dallas,4684888,32.783058,-96.806671,DFW
191466,Dayton,4509884,39.758949,-84.191612,DAY
191643,Denver,5419384,39.739151,-104.984703,DEN
191665,Des Moines,4853828,41.60054,-93.609108,DSM
191687,Detroit,4990729,42.331429,-83.045753,DTT
192360,El Paso,5520993,31.75872,-106.486931,ELP
193210,Fort Lauderdale,4155966,26.122311,-80.143379,FLL
193226,Fort Myers,4155995,26.621679,-81.840591,FMY
194015,Grand Rapids,4994358,42.96336,-85.668091,GRR
116744,Greensboro,4469146,36.072639,-79.791977,GSO
116844,Greenville,4580543,34.852619,-82.394012,GSP
194616,Hartford,4835797,41.76371,-72.685089,HFD
195197,Honolulu,5856195,21.30694,-157.858337,HNL
195273,Houston,4699066,29.763281,-95.363274,HOU
195521,Indianapolis,4259418,39.768379,-86.158043,IND
195704,Jacksonville,4160021,30.33218,-81.655647,JAX
195977,Kansas City,4273837,39.11417,-94.627457,MKC
196310,Knoxville,4634946,35.96064,-83.920738,TYS
196809,Las Vegas,5506956,36.174969,-115.137222,LAS
197402,Long Beach,5367929,33.76696,-118.189232,LGB
197462,Los Angeles,5368361,34.052231,-118.243683,LAX
197492,Louisville,4299276,38.254238,-85.759407,SDF
197797,Manchester,5089178,42.99564,-71.454788,MHT
198360,Memphis,4641239,35.149529,-90.048981,MEM
198469,Miami,4164138,25.774269,-80.193657,MIA
198676,Milwaukee,5263045,43.038898,-87.906471,MKE
117535,Minneapolis,5037649,44.979969,-93.26384,MSP
199359,Nashville,4644585,36.16589,-86.784439,BNA
199566,New Orleans,4335045,29.954651,-90.075073,MSY
199612,New York,5128581,40.714272,-74.005966,NYC
199763,Norfolk,4776222,36.846809,-76.285217,ORF
200148,Oakland,5378538,37.804371,-122.270798,OAK
200285,Oklahoma City,4544349,35.46756,-97.516434,OKC
200360,Omaha,5074472,41.25861,-95.93779,OMA
200386,Ontario,5379439,34.063339,-117.650887,ONT
200467,Orlando,4167147,28.53834,-81.379242,ORL
201052,Philadelphia,4560349,39.952339,-75.163788,PHL
201073,Phoenix,5308655,33.44838,-112.074043,PHX
201235,Pittsburgh,5206379,40.44062,-79.995888,PIT
201526,Portland,5746545,45.523449,-122.676208,PDX
201687,Providence,5224151,41.82399,-71.412827,PVD
116767,Raleigh,4487042,35.772099,-78.638611,RDU
201994,Reno,5511077,39.529629,-119.813797,RNO
202064,Richmond,4781708,37.553761,-77.460258,RIC
202252,Rochester,5134086,43.154781,-77.615562,ROC
202587,Sacramento,5389489,38.58157,-121.4944,SAC
498,Saint Louis,4407084,38.62727,-90.197891,STL
202788,Salt Lake City,5780993,40.76078,-111.891052,SLC
202808,San Antonio,4726206,29.42412,-98.493629,SAT
202824,San Diego,5391811,32.715328,-117.157257,SAN
202832,San Francisco,5391959,37.774929,-122.419418,SFO
202839,San Jose,5392171,37.33939,-121.894958,SJC
202840,San Juan,4726440,26.18924,-98.155289,SJU
202923,Santa Ana,5392900,33.745571,-117.867828,SNA
203004,Savannah,4221552,32.083542,-81.099831,SAV
203135,Seattle,5809844,47.606209,-122.332069,SEA
203944,Spokane,5811696,47.65966,-117.429077,GEG
204486,Syracuse,5140405,43.048119,-76.147423,SYR
204528,Tampa,4174757,27.947519,-82.458427,TPA
205017,Tucson,5318313,32.221741,-110.926483,TUS
205031,Tulsa,4553433,36.15398,-95.992783,TUL
205735,Washington,4792307,38.713451,-78.159439,WAS
206151,West Palm Beach,4177887,26.71534,-80.053368,PBI
206381,White Plains,5144336,41.033989,-73.762909,HPN
