name,id,lat,long,IATA
Anchorage,5879400,61.21806,-149.900284,ANC
Atlanta,4180439,33.749001,-84.387978,ATL
Austin,4671654,30.267151,-97.743057,AUS
Boston,4930956,42.358429,-71.059769,BOS
Buffalo,5110629,42.886452,-78.878372,BUF
Chicago,4887398,41.850029,-87.650047,CHI
Cincinnati,4508722,39.161999,-84.456886,CVG
Cleveland,5150529,41.4995,-81.695412,CLE
Dallas,4684888,32.783058,-96.806671,DFW
Denver,5419384,39.739151,-104.984703,DEN
Detroit,4990729,42.331429,-83.045753,DTT
Fort Lauderdale,4155966,26.122311,-80.143379,FLL
Honolulu,5856195,21.30694,-157.858337,HNL
Houston,4699066,29.763281,-95.363274,HOU
Kansas City,4273837,39.11417,-94.627457,MKC
Las Vegas,5506956,36.174969,-115.137222,LAS
Los Angeles,5368361,34.052231,-118.243683,LAX
Memphis,4641239,35.149529,-90.048981,MEM
Miami,4164138,25.774269,-80.193657,MIA
Minneapolis,5037649,44.979969,-93.26384,MSP
New Orleans,4335045,29.954651,-90.075073,MSY
New York,5128581,40.714272,-74.005966,NYC
Orlando,4167147,28.53834,-81.379242,ORL
Philadelphia,4560349,39.952339,-75.163788,PHL
Phoenix,5308655,33.44838,-112.074043,PHX
Pittsburgh,5206379,40.44062,-79.995888,PIT
Portland,5746545,45.523449,-122.676208,PDX
Salt Lake City,5780993,40.76078,-111.891052,SLC
San Francisco,5391959,37.774929,-122.419418,SFO
Seattle,5809844,47.606209,-122.332069,SEA
Tampa,4174757,27.947519,-82.458427,TPA
Washington,4792307,38.713451,-78.159439,WAS
